Module,Status,LOC,Files,Category
message_queue,DEAD,3842,12,Unreachable
model_serving,DEAD,0,0,Unreachable
monitoring,DEAD,4114,12,Unreachable
multi_cloud,DEAD,0,0,Unreachable
music,DEAD,5232,12,Unreachable
networking_deep,DEAD,0,0,Unreachable
nlg,DEAD,4739,12,Unreachable
nlu,DEAD,4023,12,Unreachable
notifications,DEAD,816,3,Unreachable
notify,DEAD,4981,12,Unreachable
olap,DEAD,0,0,Unreachable
openclaw_compat,DEAD,0,0,Unreachable
orchestrator,DEAD,0,0,Unreachable
os_kernel,DEAD,0,0,Unreachable
parsers,DEAD,0,0,Unreachable
pathfinding,DEAD,5054,12,Unreachable
patterns,DEAD,0,0,Unreachable
pentest,DEAD,6407,12,Unreachable
physics,DEAD,3197,12,Unreachable
platform_compat,DEAD,0,0,Unreachable
procgen,DEAD,4058,12,Unreachable
project_mgmt,DEAD,5074,12,Unreachable
prompts,DEAD,238,9,Unreachable
quic,DEAD,0,0,Unreachable
recommender,DEAD,5103,17,Unreachable
regex_engine,DEAD,4791,19,Unreachable
robotics_deep,DEAD,5818,18,Unreachable
rules,DEAD,0,0,Unreachable
sandbox,DEAD,870,5,Unreachable
scheduler_deep,DEAD,5708,19,Unreachable
schema,DEAD,0,0,Unreachable
search_engine,DEAD,3031,12,Unreachable
secrets,DEAD,0,0,Unreachable
serialization,DEAD,3322,12,Unreachable
service_mesh,DEAD,0,0,Unreachable
siem,DEAD,5675,12,Unreachable
signal_proc,DEAD,6486,18,Unreachable
simulation,DEAD,7529,18,Unreachable
smart_home,DEAD,5225,12,Unreachable
social_platform,DEAD,4902,12,Unreachable
stats,DEAD,5518,18,Unreachable
task_queue,DEAD,5272,19,Unreachable
telecom,DEAD,4988,12,Unreachable
template_engine,DEAD,3614,11,Unreachable
tests,DEAD,175,3,Unreachable
tracing,DEAD,0,0,Unreachable
tray_agent,DEAD,671,3,Unreachable
tsdb,DEAD,6653,18,Unreachable
units,DEAD,0,0,Unreachable
validation,DEAD,3170,12,Unreachable
visualization,DEAD,4920,12,Unreachable
voice,DEAD,4015,12,Unreachable
waf,DEAD,5817,19,Unreachable
watcher,DEAD,1002,4,Unreachable
webhooks,DEAD,4866,12,Unreachable
webrtc,DEAD,0,0,Unreachable
workflow_v2,DEAD,0,0,Unreachable
workflows,DEAD,3482,10,Unreachable
