prompt_id,batch,lane,domain,title
P143,B18,"Plugins and Gateway API",gateway,"Openai error shape mapping"
P144,B18,"Plugins and Gateway API",gateway,"Responses compat route scaffold"
P145,B19,"Plugins and Gateway API",gateway,"Responses create non-stream"
P146,B19,"Plugins and Gateway API",gateway,"Responses create stream events"
P147,B19,"Plugins and Gateway API",gateway,"Responses tool result mapping"
P148,B19,"Plugins and Gateway API",gateway,"Compat model capability resolver"
P149,B19,"Plugins and Gateway API",gateway,"Compat request validation layer"
P150,B19,"Plugins and Gateway API",gateway,"Compat auth and rate-limit middleware"
P151,B19,"Plugins and Gateway API",gateway,"Compat usage accounting integration"
P152,B19,"Plugins and Gateway API",gateway,"Gateway and compat integration tests"
P153,B20,"Memory Security System Approvals",memory,"Memory command package scaffold"
P154,B20,"Memory Security System Approvals",memory,"Memory index command"
P155,B20,"Memory Security System Approvals",memory,"Memory search command"
P156,B20,"Memory Security System Approvals",memory,"Memory status command"
P157,B20,"Memory Security System Approvals",memory,"Memory rebuild command"
P158,B20,"Memory Security System Approvals",memory,"Memory cli integration"
P159,B20,"Memory Security System Approvals",security,"Security command package scaffold"
P160,B20,"Memory Security System Approvals",security,"Security audit command"
P161,B21,"Memory Security System Approvals",security,"Security config-check command"
P162,B21,"Memory Security System Approvals",security,"Security secrets-check command"
P163,B21,"Memory Security System Approvals",security,"Security policy-status command"
P164,B21,"Memory Security System Approvals",security,"Security cli integration"
P165,B21,"Memory Security System Approvals",system,"System command package scaffold"
P166,B21,"Memory Security System Approvals",system,"System heartbeat command"
P167,B21,"Memory Security System Approvals",system,"System presence command"
P168,B21,"Memory Security System Approvals",system,"System events tail command"
P169,B22,"Memory Security System Approvals",system,"System diagnostics command"
P170,B22,"Memory Security System Approvals",system,"System cli integration"
P171,B22,"Memory Security System Approvals",approvals,"Approvals command package scaffold"
P172,B22,"Memory Security System Approvals",approvals,"Approvals get command"
P173,B22,"Memory Security System Approvals",approvals,"Approvals set command"
P174,B22,"Memory Security System Approvals",approvals,"Approvals allowlist command"
P175,B22,"Memory Security System Approvals",approvals,"Approvals revoke reset command"
P176,B22,"Memory Security System Approvals",approvals,"Approvals cli integration"
P177,B23,"Tests CI Hardening",hardening,"Gap score script scaffold"
P178,B23,"Tests CI Hardening",hardening,"Gap score loc collector"
P179,B23,"Tests CI Hardening",hardening,"Gap score test-loc collector"
P180,B23,"Tests CI Hardening",hardening,"Gap score cli-depth collector"
P181,B23,"Tests CI Hardening",hardening,"Gap score extension and app collector"
P182,B23,"Tests CI Hardening",hardening,"Gap score weighted formula"
P183,B23,"Tests CI Hardening",hardening,"Gap score markdown renderer"
P184,B23,"Tests CI Hardening",hardening,"Gap score json output contract"
P185,B24,"Tests CI Hardening",hardening,"Test gap score script"
P186,B24,"Tests CI Hardening",hardening,"Openclaw gap gate script scaffold"
P187,B24,"Tests CI Hardening",hardening,"Gap gate threshold policy"
P188,B24,"Tests CI Hardening",hardening,"Gap gate docs-update check"
P189,B24,"Tests CI Hardening",hardening,"Gap gate ci wiring"
P190,B24,"Tests CI Hardening",hardening,"Test gap gate script"
P191,B24,"Tests CI Hardening",hardening,"Cli depth report generator scaffold"
P192,B24,"Tests CI Hardening",hardening,"Cli depth parser"
P193,B25,"Tests CI Hardening",hardening,"Cli depth markdown trend report"
P194,B25,"Tests CI Hardening",hardening,"Test cli depth report generator"
P195,B25,"Tests CI Hardening",hardening,"Browser regression test matrix"
P196,B25,"Tests CI Hardening",hardening,"Node regression test matrix"
P197,B25,"Tests CI Hardening",hardening,"Message regression test matrix"
P198,B25,"Tests CI Hardening",hardening,"Channels regression test matrix"
P199,B25,"Tests CI Hardening",hardening,"Plugin regression test matrix"
P200,B25,"Tests CI Hardening",hardening,"Gateway compat regression tests"
P201,B26,"Tests CI Hardening",hardening,"Responses stream contract tests"
P202,B26,"Tests CI Hardening",hardening,"Auth hardening regression tests"
P203,B26,"Tests CI Hardening",hardening,"Alias compatibility regression tests"
P204,B26,"Tests CI Hardening",hardening,"Non-loopback security regression tests"
P205,B26,"Tests CI Hardening",hardening,"Parallel prompt batch runner script"
P206,B26,"Tests CI Hardening",hardening,"Prompt merge guard script"
P207,B26,"Tests CI Hardening",hardening,"Prompt conflict detector script"
P208,B26,"Tests CI Hardening",hardening,"Smoke umbrella script"
P209,B27,"Tests CI Hardening",hardening,"Nightly benchmark runner update"
P210,B27,"Tests CI Hardening",hardening,"Ci test shard matrix"
P211,B27,"Tests CI Hardening",hardening,"Ci timeout and retry policy"
P212,B27,"Tests CI Hardening",hardening,"Changelog automation helper"
P213,B27,"Tests CI Hardening",hardening,"Gap changelog entry validator"
P214,B27,"Tests CI Hardening",hardening,"Release readiness checklist automation"
P215,B27,"Tests CI Hardening",hardening,"Final integration acceptance suite"
P216,B27,"Tests CI Hardening",hardening,"Final scoreboard and handoff report template"
